date,activity id,type,calories burned,climb (m),duration(s),distance(m),speed(m/s)
2018-03-15 18:31:35,462e7678-375e-4b97-bef4-95596625b711,Running,719.0,182,3520.0,10150.0,2.8833333333333337
2018-02-19 18:28:16,f37df89c-b59a-406a-a509-3ee09f080aa6,Running,742.0,174,3600.0,10420.0,2.8861111111111115
2018-02-15 19:11:33,dd258b46-8c3b-429a-9884-c38d29f1a77d,Running,730.0,174,3600.0,10270.0,2.838888888888889
2018-02-13 18:27:44,cd9359da-2c5b-4c41-ac83-b4c237a85701,Running,750.0,179,3661.0,10600.0,2.8805555555555555
2018-02-04 17:47:37,e8203d40-8298-4484-9380-617d6b0d3aa5,Running,713.0,175,3537.0,10080.0,2.85
2018-01-28 13:23:30,d1d36e85-9f28-4ab4-a4c2-60aea8f77490,Running,910.0,174,4393.0,13000.0,2.941666666666667
2018-01-24 18:13:26,6d853ab2-e3c3-4206-af59-e22096f1b1d5,Running,847.0,196,4210.0,11590.0,2.738888888888889
2018-01-21 11:46:12,2a24b579-7365-49da-a4e4-67c13d097e39,Running,744.0,153,3600.0,10520.0,2.875
2018-01-14 12:48:41,039df468-14d0-4fdd-8496-c9f06f5a5d47,Running,910.0,180,4332.0,13010.0,2.9805555555555556
2018-01-08 18:25:42,2e4cf2f3-0bec-47fa-8890-86883953620a,Running,769.0,182,3783.0,10640.0,2.783333333333333
2018-01-05 17:45:58,6344fc66-c0ec-47c5-bfae-c1d2b8d599c1,Running,804.0,187,3966.0,11400.0,2.8555555555555556
2018-01-02 17:41:34,04c2266b-0ff3-4789-9ebb-8e28d483a3bd,Running,815.0,190,4027.0,11510.0,2.8333333333333335
2017-12-30 17:11:53,bbfe7660-45db-4b6f-982f-11ca900db7e5,Running,841.0,192,4210.0,11690.0,2.7722222222222226
2017-12-27 18:50:24,c0706fc2-7192-4c28-b1f4-0553dc423ded,Running,622.0,131,2756.0,8290.0,3.0083333333333333
2017-12-04 18:14:41,45475dee-1fba-4bc5-bdf1-1ca458d0b20a,Running,717.0,160,3583.0,10000.0,2.791666666666667
2017-11-25 12:17:22,402c9db6-fae4-43fe-b98b-92d474872f81,Running,899.0,176,4210.0,12850.0,3.055555555555556
2017-11-22 18:21:12,bae73a36-cb24-4137-96c2-156e569cd015,Running,534.0,129,2609.0,7550.0,2.8944444444444444
2017-11-15 18:06:19,80ef1296-34ab-4880-af73-f7d9c8814b27,Running,748.0,159,3783.0,10420.0,2.7583333333333333
2017-11-09 18:39:48,3f5756f2-b3dc-4aa7-acc3-e38d7fa8e546,Running,656.0,155,3220.0,9200.0,2.8583333333333334
2017-11-05 15:48:01,b2fcf898-872d-48ea-8d29-29e11191c5cf,Running,897.0,172,4210.0,12780.0,3.0166666666666666
2017-10-28 16:07:20,88c26827-340d-4ef9-ba4e-e3fe1fdf6da4,Running,895.0,170,4271.0,12870.0,3.011111111111111
