type,calories burned,climb (m),duration(s),distance(m),speed(m/s),calories burned per second,day_of_week,month
Running,684.0,51,3234.0,9550.0,2.952777777777778,0.21150278293135436,Monday,May
Running,893.0,71,3661.0,12750.0,3.4444444444444446,0.24392242556678503,Wednesday,May
Running,895.0,71,3783.0,12750.0,3.3722222222222227,0.2365847211208036,Monday,May
Running,470.0,36,2123.0,6560.0,3.088888888888889,0.2213848327837965,Saturday,May
Running,930.0,84,3905.0,13170.0,3.369444444444445,0.23815620998719592,Wednesday,May
Running,906.0,69,3661.0,12630.0,3.430555555555556,0.24747336793225894,Monday,May
Running,903.0,71,3905.0,12850.0,3.2611111111111115,0.23124199743918053,Tuesday,May
Running,537.0,127,2276.0,7080.0,3.111111111111111,0.2359402460456942,Friday,May
Running,908.0,71,3581.0,12750.0,3.5583333333333336,0.2535604579726333,Monday,April
Running,1361.0,111,5735.0,19080.0,3.344444444444445,0.23731473408892764,Wednesday,April
Running,891.0,71,3844.0,12830.0,3.311111111111112,0.231789802289282,Monday,April
Running,1145.0,85,4881.0,16210.0,3.305555555555556,0.23458307723827085,Wednesday,April
Running,901.0,73,3844.0,12570.0,3.263888888888889,0.23439125910509886,Monday,April
Running,895.0,69,3844.0,12470.0,3.219444444444445,0.23283038501560874,Wednesday,April
Running,446.0,33,1920.0,6220.0,3.236111111111111,0.23229166666666667,Wednesday,April
Running,455.0,36,2190.0,6320.0,2.8861111111111115,0.20776255707762556,Monday,March
Running,684.0,51,3234.0,9550.0,2.952777777777778,0.21150278293135436,Thursday,March
Running,672.0,53,3440.0,9710.0,2.8194444444444446,0.19534883720930232,Tuesday,March
Running,613.0,48,3096.0,8620.0,2.783333333333333,0.19799741602067183,Thursday,March
Running,455.0,34,2214.0,6350.0,2.8694444444444445,0.2055103884372177,Tuesday,March
Running,677.0,52,3214.0,9450.0,2.938888888888889,0.2106409458618544,Tuesday,March
Running,454.0,32,2162.0,6340.0,2.9333333333333336,0.20999074930619796,Friday,February
Running,454.0,35,2169.0,6330.0,2.9194444444444447,0.20931304748732135,Tuesday,February
Running,458.0,34,2170.0,6380.0,2.938888888888889,0.2110599078341014,Wednesday,February
Running,449.0,35,2074.0,6290.0,3.030555555555556,0.21648987463837993,Saturday,February
Running,458.0,34,2280.0,6380.0,2.8000000000000003,0.20087719298245615,Thursday,February
Running,474.0,36,2543.0,6560.0,2.5805555555555557,0.18639402280770742,Thursday,February
Running,774.0,56,3661.0,10810.0,2.9277777777777776,0.2114176454520623,Tuesday,January
Running,241.0,16,1090.0,3380.0,3.1,0.22110091743119267,Thursday,January
Running,471.0,36,2162.0,6570.0,3.036111111111111,0.21785383903792785,Tuesday,December
Running,676.0,52,3248.0,9500.0,2.925,0.20812807881773399,Monday,December
Running,454.0,33,2162.0,6340.0,2.9333333333333336,0.20999074930619796,Saturday,December
Running,679.0,52,3186.0,9500.0,2.980555555555556,0.21311989956057753,Thursday,December
Running,452.0,35,2099.0,6300.0,3.0000000000000004,0.21534063839923773,Saturday,December
Running,896.0,69,4210.0,12480.0,2.941666666666667,0.21282660332541567,Wednesday,December
Running,451.0,35,2064.0,6330.0,3.0638888888888887,0.2185077519379845,Saturday,November
Running,840.0,63,3966.0,11730.0,2.930555555555556,0.2118003025718608,Wednesday,November
Running,424.0,21,1966.0,6150.0,3.1277777777777778,0.21566632756866735,Saturday,November
Running,679.0,53,3007.0,9470.0,3.1472222222222226,0.22580645161290322,Thursday,November
Running,226.0,18,1103.0,3140.0,2.8472222222222223,0.20489573889392565,Saturday,November
Running,413.0,32,1992.0,5810.0,2.913888888888889,0.2073293172690763,Wednesday,October
Running,453.0,35,2141.0,6300.0,2.941666666666667,0.21158337225595517,Wednesday,October
Running,897.0,74,4149.0,12530.0,2.9916666666666667,0.21619667389732466,Friday,October
Running,616.0,45,2975.0,8570.0,2.8805555555555555,0.20705882352941177,Tuesday,October
Running,455.0,35,2061.0,6360.0,3.0861111111111112,0.2207666181465308,Saturday,October
Running,669.0,52,3021.0,9340.0,3.088888888888889,0.2214498510427011,Thursday,October
Running,455.0,35,2061.0,6360.0,3.083333333333333,0.2207666181465308,Saturday,October
Running,462.0,34,1961.0,6450.0,3.288888888888889,0.23559408465068843,Monday,September
Running,458.0,34,1943.0,6410.0,3.3000000000000003,0.2357179619145651,Monday,September
Running,449.0,30,1882.0,6450.0,3.4222222222222225,0.2385759829968119,Saturday,August
Running,1121.0,88,5125.0,15610.0,3.027777777777778,0.21873170731707317,Wednesday,August
Running,891.0,61,3966.0,12470.0,3.1222222222222222,0.22465960665658094,Thursday,August
Running,896.0,68,3966.0,12490.0,3.136111111111111,0.2259203227433182,Sunday,August
Running,893.0,67,3905.0,12470.0,3.163888888888889,0.22868117797695262,Tuesday,July
Running,845.0,64,3600.0,11870.0,3.2611111111111115,0.23472222222222222,Sunday,July
Running,40.0,6,513.0,1720.0,3.352777777777778,0.07797270955165692,Friday,July
Running,416.0,30,1956.0,6150.0,3.1472222222222226,0.21267893660531698,Thursday,July
Running,281.0,56,1296.0,3750.0,2.891666666666667,0.21682098765432098,Sunday,July
Running,280.0,55,1272.0,3750.0,2.9472222222222224,0.22012578616352202,Saturday,July
Running,280.0,55,1270.0,3750.0,2.952777777777778,0.2204724409448819,Friday,July
Running,281.0,55,1315.0,3750.0,2.85,0.21368821292775667,Wednesday,July
Running,281.0,55,1300.0,3750.0,2.8833333333333337,0.21615384615384614,Tuesday,July
Running,262.0,0,1270.0,3750.0,2.952777777777778,0.2062992125984252,Monday,July
Running,1101.0,0,3966.0,16000.0,3.9916666666666663,0.27760968229954613,Wednesday,June
Running,446.0,35,1945.0,6230.0,3.2,0.22930591259640104,Saturday,June
Running,417.0,36,1793.0,6370.0,3.5527777777777776,0.23257110987172336,Saturday,June
Running,963.0,77,4149.0,16590.0,3.977777777777778,0.23210412147505424,Wednesday,June
Running,455.0,36,2031.0,6350.0,3.1222222222222222,0.224027572624323,Saturday,June
Running,898.0,67,3966.0,12570.0,3.1472222222222226,0.2264246091780131,Saturday,June
Running,361.0,30,1457.0,6500.0,4.458333333333334,0.2477693891557996,Tuesday,May
Running,833.0,63,3600.0,11630.0,3.2,0.2313888888888889,Tuesday,May
Running,420.0,32,1898.0,6150.0,3.2416666666666667,0.22128556375131717,Saturday,May
Cycling,339.0,88,2288.0,15470.0,6.758333333333333,0.14816433566433568,Thursday,May
Running,430.0,0,2400.0,6530.0,2.719444444444444,0.17916666666666667,Thursday,May
Cycling,498.0,97,3966.0,20300.0,5.086111111111111,0.12556732223903178,Sunday,May
Running,454.0,34,2038.0,6410.0,3.1472222222222226,0.22276741903827282,Sunday,May
Running,225.0,16,995.0,3150.0,3.1611111111111114,0.22613065326633167,Saturday,May
Running,445.0,36,1971.0,6210.0,3.1472222222222226,0.22577371892440384,Thursday,May
Running,446.0,34,1949.0,6220.0,3.188888888888889,0.2288353001539251,Wednesday,May
Cycling,341.0,133,2907.0,13870.0,4.769444444444445,0.11730306157550739,Sunday,April
Running,224.0,17,996.0,3120.0,3.1333333333333333,0.2248995983935743,Sunday,April
Running,399.0,33,1769.0,6250.0,3.530555555555556,0.2255511588468061,Wednesday,April
Running,452.0,37,1969.0,6480.0,3.288888888888889,0.22955815134586086,Wednesday,April
Running,454.0,33,1982.0,6340.0,3.1972222222222224,0.22906155398587286,Saturday,April
Running,490.0,0,2412.0,7040.0,2.916666666666667,0.20315091210613598,Wednesday,March
Running,461.0,35,2268.0,6410.0,2.825,0.20326278659611993,Wednesday,March
Running,739.0,67,3722.0,10300.0,2.7416666666666667,0.19854916711445458,Thursday,February
Running,683.0,52,3284.0,9530.0,2.9027777777777777,0.2079780755176614,Tuesday,February
Running,454.0,35,2158.0,6320.0,2.930555555555556,0.21037998146431883,Friday,February
Running,687.0,52,3155.0,9590.0,3.0388888888888888,0.21774960380348654,Wednesday,February
Running,655.0,51,3029.0,9480.0,3.1305555555555555,0.21624298448332782,Friday,February
Running,103.0,9,534.0,3070.0,5.755555555555556,0.19288389513108614,Wednesday,February
Running,614.0,45,3013.0,8650.0,2.8722222222222222,0.2037836043810156,Wednesday,January
Running,190.0,15,956.0,3390.0,3.541666666666667,0.19874476987447698,Saturday,January
Running,398.0,32,1962.0,6720.0,3.427777777777778,0.20285423037716616,Tuesday,January
Running,201.0,13,1207.0,3090.0,2.5583333333333336,0.16652858326429162,Saturday,January
Running,392.0,28,1884.0,5470.0,2.9,0.208067940552017,Wednesday,January
Running,216.0,17,1124.0,3050.0,2.7111111111111112,0.19217081850533807,Saturday,December
Running,227.0,18,1208.0,3140.0,2.6,0.1879139072847682,Saturday,December
Running,228.0,18,1130.0,3210.0,2.836111111111112,0.20176991150442478,Saturday,December
Running,406.0,30,1925.0,6630.0,3.441666666666667,0.2109090909090909,Tuesday,December
Running,230.0,18,1087.0,3310.0,3.0472222222222225,0.21159153633854647,Saturday,December
Running,450.0,35,2249.0,6280.0,2.7888888888888888,0.20008892841262785,Wednesday,November
Running,186.0,15,847.0,2650.0,3.1305555555555555,0.21959858323494688,Saturday,November
Running,228.0,18,1033.0,3180.0,3.080555555555556,0.2207163601161665,Sunday,November
Running,205.0,16,1012.0,2850.0,2.816666666666667,0.2025691699604743,Saturday,November
Running,340.0,23,1636.0,4790.0,2.925,0.2078239608801956,Wednesday,November
Running,371.0,27,1766.0,5200.0,2.941666666666667,0.210079275198188,Tuesday,October
Running,228.0,18,1168.0,3180.0,2.7222222222222223,0.1952054794520548,Saturday,October
Running,264.0,20,1157.0,3700.0,3.1972222222222224,0.22817631806395852,Thursday,October
Running,69.0,9,797.0,1280.0,1.6027777777777776,0.08657465495608532,Tuesday,October
Running,225.0,18,986.0,3160.0,3.2,0.2281947261663286,Saturday,September
Running,223.0,18,1018.0,3110.0,3.0500000000000003,0.21905697445972494,Saturday,September
Running,231.0,15,955.0,3270.0,3.4222222222222225,0.2418848167539267,Saturday,September
Running,455.0,34,1955.0,6260.0,3.202777777777778,0.23273657289002558,Tuesday,September
Running,230.0,18,976.0,3140.0,3.2111111111111112,0.23565573770491804,Sunday,September
